Sector,Company,Output,MSE,R2
PHARMACEUTICALS,FEROZ,Output_2,0.013742,0.806666
PHARMACEUTICALS,FEROZ,Output_3,0.019724,0.719758
PHARMACEUTICALS,FEROZ,Output_4,0.074029,-0.023899
PHARMACEUTICALS,GLAXO,Output_1,0.003315,0.624251
PHARMACEUTICALS,GLAXO,Output_2,0.004776,0.484399
PHARMACEUTICALS,GLAXO,Output_3,0.008499,0.341237
PHARMACEUTICALS,GLAXO,Output_4,0.05638,0.036593
PHARMACEUTICALS,HALEON,Output_1,0.002098,0.914499
PHARMACEUTICALS,HALEON,Output_2,0.002448,0.909787
PHARMACEUTICALS,HALEON,Output_3,0.003946,0.913741
PHARMACEUTICALS,HALEON,Output_4,0.022353,0.792058
PHARMACEUTICALS,HINOON,Output_1,0.010099,0.527037
